5.99982e-301, 0.785464, 1.02025, 0.600986, 1, 
4.92981e-301, 0.649046, 0.860062, 0.664496, 1, 
4.10069e-301, 0.54615, 0.744406, 0.703012, 1, 
3.47782e-301, 0.469451, 0.659009, 0.724558, 1, 
3.01337e-301, 0.412221, 0.594832, 0.734546, 1, 
2.66592e-301, 0.369194, 0.545797, 0.736713, 1, 
2.40366e-301, 0.336469, 0.507688, 0.733661, 1, 
2.20321e-301, 0.311219, 0.477534, 0.727209, 1, 
2.04764e-301, 0.291412, 0.453223, 0.718625, 1, 
1.92484e-301, 0.275593, 0.433247, 0.708789, 1, 
1.8261e-301, 0.26272, 0.416525, 0.698309, 1, 
1.7452e-301, 0.252045, 0.402278, 0.687601, 1, 
1.67767e-301, 0.243031, 0.389942, 0.676944, 1, 
1.62028e-301, 0.235289, 0.379108, 0.666522, 1, 
1.57072e-301, 0.228537, 0.369476, 0.656455, 1, 
1.52728e-301, 0.222571, 0.360823, 0.646813, 1, 
