0, 0.445183, 0.832107, 1.11138, 1.25, 1.23638, 1.08211, 0.820183, 0.5, -0.0821068, -0.25, 0.167893, 1, 
0.0833333, 0.390979, 0.676, 0.890769, 1.00528, 1.00826, 0.907174, 0.726257, 0.50252, 0.099475, 0.00337439, 0.332028, 0.920044, 
0.166667, 0.375799, 0.57913, 0.739158, 0.830592, 0.842652, 0.779324, 0.657751, 0.504974, 0.232627, 0.183903, 0.434459, 0.846482, 
0.25, 0.384591, 0.524143, 0.639407, 0.709762, 0.725405, 0.68782, 0.608643, 0.50714, 0.328429, 0.30935, 0.496361, 0.778801, 
0.333333, 0.410097, 0.499409, 0.578203, 0.629683, 0.645081, 0.624148, 0.574364, 0.509041, 0.395911, 0.394262, 0.530513, 0.716531, 
0.416667, 0.447746, 0.496906, 0.545685, 0.580244, 0.592722, 0.581655, 0.551426, 0.510851, 0.442315, 0.449664, 0.545427, 0.659241, 
0.5, 0.494362, 0.510895, 0.534574, 0.553808, 0.561471, 0.555239, 0.537198, 0.512801, 0.47329, 0.483763, 0.547044, 0.606531, 
0.583333, 0.547651, 0.537187, 0.539485, 0.544656, 0.546155, 0.541044, 0.529717, 0.515124, 0.493154, 0.502641, 0.539611, 0.558035, 
0.666667, 0.605931, 0.572691, 0.556423, 0.548523, 0.542902, 0.536186, 0.527526, 0.51803, 0.505174, 0.510802, 0.526193, 0.513417, 
0.75, 0.667956, 0.615121, 0.582421, 0.562233, 0.548821, 0.538513, 0.529553, 0.521694, 0.511799, 0.511571, 0.509005, 0.472367, 
0.833333, 0.732806, 0.662779, 0.615277, 0.583422, 0.561766, 0.54643, 0.535006, 0.52626, 0.514858, 0.507405, 0.48965, 0.434598, 
0.916667, 0.799796, 0.714404, 0.653353, 0.610337, 0.580142, 0.558754, 0.543301, 0.53184, 0.51571, 0.500106, 0.46928, 0.39985, 
1, 0.868418, 0.769061, 0.695434, 0.641674, 0.602763, 0.574607, 0.554009, 0.538517, 0.515357, 0.490997, 0.448712, 0.367879, 
